Source	Target	Interaction
4-1BB	FAS/FASL	promotes
4-1BB	TCF-1	promotes
AKT	BACH2	promotes
AKT	NFATC2	promotes
AKT	MTOR	promotes
AKT	NFkB	promotes
AKT	FOXO1	inhibits
AKT	AP1	promotes
AP1	NR4A1	promotes
AP1	NFATC1:AP1:IRF4:BATF	inhibits
BACH2	IFNG	inhibits
BACH2	BLIMP-1	inhibits
BACH2	ID3	promotes
BATF	NFATC1:AP1:IRF4:BATF	promotes
BCL6	TCF-1	promotes
BCL6	BLIMP-1	inhibits
BLIMP-1	TIGIT	promotes
BLIMP-1	CD160	promotes
BLIMP-1	CD244/2B4	promotes
BLIMP-1	BCL6	inhibits
BLIMP-1	ID3	inhibits
BTLA	"CD3, TCR, CD8, CD28"	inhibits
CD137L	4-1BB	promotes
"CD3, TCR, CD8, CD28"	4-1BB	promotes
"CD3, TCR, CD8, CD28"	RAS	promotes
"CD3, TCR, CD8, CD28"	EZH2/PRC2	promotes
"CD3, TCR, CD8, CD28"	PI3K	promotes
CTLA-4	Tregs	promotes
CTLA-4	"CD3, TCR, CD8, CD28"	inhibits
E2A	CXCR5	promotes
EGR2/3	TBET	inhibits
EGR2/3	ZEB2	inhibits
EGR2/3	LAG3	promotes
EGR2/3	TCF-1	promotes
EGR2/3	ID3	promotes
EGR2/3	FAS/FASL	promotes
EOMES	GZMA/B	promotes
EOMES	PRF1	promotes
EOMES	IFNG	promotes
EZH2/PRC2	EOMES	inhibits
EZH2/PRC2	TCF-1	inhibits
EZH2/PRC2	BACH2	inhibits
EZH2/PRC2	FOXO1	inhibits
FOXO1	PGC1A	promotes
FOXO1	TCF-1	promotes
HIF1A	MYC	promotes
HIF1A	PPARa	inhibits
ID3	FAS/FASL	inhibits
ID3	IL2-R	inhibits
ID3	CXCR5	promotes
IFNG	FAS/FASL	promotes
IL12-R	TBET	promotes
IL12-R	ZEB2	promotes
IL12-R	ID2	promotes
IL12-R	BATF	promotes
IL12-R	FOXO1	inhibits
IL15-R	TIGIT	promotes
IL21-R	ID2	promotes
IL21-R	IRF4	promotes
IL21-R	TBET	promotes
IL21-R	ZEB2	promotes
IL21-R	BATF	promotes
IL2-R	TIGIT	promotes
IL2-R	BLIMP-1	promotes
IL2-R	FOXO1	inhibits
IL2-R	IRF4	promotes
IL2-R	ID2	promotes
IRF4	NFATC1:AP1:IRF4:BATF	promotes
LAG3	Tregs	promotes
MAPK	EGR2/3	promotes
MAPK	AP1	promotes
MTOR	MYC	promotes
MTOR	HIF1A	promotes
MTOR	IRF4	promotes
MYC	glycolysis	promotes
MYC	proliferation	promotes
MYC	MT biogenesis	promotes
MYC	FAS/FASL	promotes
NFATC1	FAS/FASL	promotes
NFATC2	FAS/FASL	promotes
NFATC1	TIM3	promotes
NFATC1	LAG3	promotes
NFATC1	CTLA-4	promotes
NFATC1	PD-1	promotes
NFATC1	IRF4	promotes
NFATC1	NFATC1:AP1:IRF4:BATF	promotes
NFATC1:AP1:IRF4:BATF	MYC	inhibits
NFATC1:AP1:IRF4:BATF	NFATC1	promotes
NFATC1:AP1:IRF4:BATF	BCL6	inhibits
NFATC2	CTLA-4	promotes
NFATC2	PD-1	promotes
NFATC2	NFATC1	promotes
NFATC2	IL12-R	inhibits
NFATC1	BCL6	promotes
NFATC2	BCL6	promotes
NFkB	BTLA	promotes
NFkB	BCL6	promotes
NR4A1	FAS/FASL	promotes
PD-1	"CD3, TCR, CD8, CD28"	inhibits
PGC1A	MT biogenesis	promotes
PI3K	AKT	promotes
RAS	MAPK	promotes
RUNX3	GZMA/B	promotes
RUNX3	PRF1	promotes
RUNX3	IFNG	promotes
RUNX3	EOMES	promotes
TBET	ZEB2	promotes
TBET	GZMA/B	promotes
TBET	IFNG	promotes
TBET	PD-1	inhibits
ZEB2	GZMA/B	promotes
ZEB2	IFNG	promotes
ZEB2	PD-1	inhibits
TCF-1	KLRG1	inhibits
TCF-1	BCL6	promotes
TIGIT	degranulation	inhibits
TIGIT	Tregs	promotes
TIM3	"CD3, TCR, CD8, CD28"	inhibits
ZEB2	ID3	inhibits
ZEB2	TBET	promotes
